"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"3028","N701UW","1856","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"3657","N960AT","2688","0","0","JFK","BOS","105","2018","1","22","FLIGHT_2018"
"4047","N927AT","2668","0","0","JFK","BOS","101","2018","5","8","FLIGHT_2018"
"2083","N635AA","1443","0","0","JFK","BOS","104","2017","1","1","FLIGHT_2017"
"3567","N724EV","5074","0","0","JFK","BHM","107","2018","1","14","FLIGHT_2018"
"1008","N5FAAA","199","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"1086","N192UW","1737","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"1800","N3AJAA","67","0","0","JFK","AUS","107","2017","1","1","FLIGHT_2017"
"4240","N961UW","2128","0","0","JFK","BOS","10","2018","6","12","FLIGHT_2018"
"4026","N920AT","2668","0","0","JFK","BOS","102","2018","5","5","FLIGHT_2018"
"802","N3FTAA","84","0","0","JFK","BOS","10","2017","1","1","FLIGHT_2017"
"1912","N3JXAA","235","0","0","JFK","BOS","102","2017","1","1","FLIGHT_2017"
"1973","N721UW","1770","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"2588","N3BYAA","84","0","0","JFK","BOS","102","2017","1","1","FLIGHT_2017"
"2354","N581UW","600","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"3010","N971UY","873","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"3123","N3FTAA","235","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"446","N3BEAA","335","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"3343","N3AWAA","235","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"18","N3JDAA","1653","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"1810","N818AW","1849","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"157","N3EMAA","1096","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"363","N3GTAA","2314","0","0","JFK","BOS","102","2017","1","1","FLIGHT_2017"
"3446","N794AA","391","0","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"209","N3EBAA","1653","1","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
